,R(0.01),R(0.02),R(0.03),R(0.04),R(0.05),R(0.06),R(0.07),R(0.08),R(0.09),R(0.10),R(0.11),R(0.12),R(0.13),R(0.14),R(0.15)
2025-01-03 16:00:00+00:00,3912.0696261588673,3560.6413837834916,3183.419517364142,2785.9486081919677,2605.023351969321,2398.007466882751,2226.5756626738657,1960.7605637834567,2051.0484109766476,1743.8629520074392,1681.3878254681404,1652.3849906309988,1499.0531275657922,1560.119784426417,1342.6302933400948
2025-01-03 17:00:00+00:00,3866.3215745062917,3342.579842457024,2951.472337334053,2672.823013209767,2394.340060367089,2230.989024175331,2088.0098340762634,1816.1522566683852,1902.1808922815399,1634.0823316113383,1574.7892274261249,1516.5508145827625,1428.5687365739868,1528.220731960464,1207.1935268371599
2025-01-03 18:00:00+00:00,4211.453337561979,3223.8391228320834,2717.616321404508,2364.177022739692,2291.9353514035465,2128.362258549678,1998.2532819740154,1747.3189130593091,1725.7205353220052,1536.2412046004029,1422.0047214274528,1301.983369784808,1238.6091124137602,1375.7990438408888,1080.5258586998243
2025-01-03 19:00:00+00:00,3958.668586793472,3199.824978628865,2711.195994031077,2282.271036738268,2146.7989711354167,1993.3422450249345,1862.8342081852752,1525.6738905747625,1595.3266244989209,1246.162482761065,1145.56308761728,1069.9729087789165,932.6146816002001,1094.2746873728902,906.6230577662936
2025-01-03 20:00:00+00:00,4010.592389967118,3432.459799075252,3085.4939893571136,2690.259894569652,2544.3249909052247,2385.6803019082145,2223.892947434724,2006.3974555936002,1976.2132941974705,1729.5412850635184,1667.389092705038,1605.5571697021078,1468.7689023767598,1557.380255304699,1413.5071167932474
2025-01-03 21:00:00+00:00,4110.392641547158,3770.1777867262354,3560.1147021921133,3280.3373717170907,3113.0636228373914,2948.623330839255,2754.92887273465,2549.2990557990925,2522.552091739657,2281.1953640669017,2243.7566140555355,2186.285746784146,2049.7343297082334,2109.048227694475,1858.7261794259684
2025-01-03 22:00:00+00:00,4204.81060380397,3619.974699524624,3266.305676352218,2941.007068913328,2934.5104884650063,2746.8529368864547,2571.619187849865,2349.5878839834622,2309.8741416068515,2095.0739073282894,2013.760332196267,1916.8047020409722,1801.5288926176727,1873.945551943616,1571.4930984051025
2025-01-03 23:00:00+00:00,3903.7659686498664,3318.9080802571116,2885.467690117839,2501.4425969907898,2352.7777357916057,2193.0196474116965,2051.740735998872,1767.922836939295,1802.8001823042287,1494.6666233887518,1392.9867522362038,1340.933555686206,1188.8275359202962,1241.993979480787,971.1086876274276
2025-01-04 00:00:00+00:00,3974.287660698479,3396.5386362467834,3100.1024267791436,2721.732528151755,2589.912382891511,2429.188152609786,2261.663568348762,2233.0128014445872,2030.9372547750972,1988.0751830408335,1920.8922894088319,1877.198457459359,1755.557237094421,1664.6261109033294,1777.356571253993
2025-01-04 01:00:00+00:00,3803.443590080453,3404.84963513977,3141.6211683113506,2838.0273654873527,2695.004659257589,2534.5667520854477,2366.097280581089,2295.2554447220973,2152.795334232578,2058.3743641837937,2004.247816175688,1963.4228016310662,1841.093178125484,1753.179273767295,1664.1471316784955
